# Copyright (C) 1991-2012 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 12.1 Build 177 11/07/2012 SJ Web Edition
# File: C:\Users\Alex\git\Nachrichten\Projekt\Drehzahlmesser_Pins_v1.csv
# Generated on: Mon Dec 02 15:20:41 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
CLOCK,Input,PIN_Y2,2,B2_N0,PIN_Y2,,,,,
debug_1,Output,PIN_E21,7,B7_N0,PIN_AE23,,,,,
debug_2,Output,PIN_E22,7,B7_N0,PIN_AA13,,,,,
lcdData[7],Output,PIN_M5,1,B1_N2,PIN_M5,,,,,
lcdData[6],Output,PIN_M3,1,B1_N1,PIN_M3,,,,,
lcdData[5],Output,PIN_K2,1,B1_N1,PIN_K2,,,,,
lcdData[4],Output,PIN_K1,1,B1_N1,PIN_K1,,,,,
lcdData[3],Output,PIN_K7,1,B1_N1,PIN_K7,,,,,
lcdData[2],Output,PIN_L2,1,B1_N2,PIN_L2,,,,,
lcdData[1],Output,PIN_L1,1,B1_N2,PIN_L1,,,,,
lcdData[0],Output,PIN_L3,1,B1_N1,PIN_L3,,,,,
lcdE1,Output,PIN_L4,1,B1_N1,PIN_L4,,,,,
lcdE2,Output,PIN_L5,1,B1_N1,PIN_L5,,,,,
lcdRS,Output,PIN_M2,1,B1_N2,PIN_M2,,,,,
lcdRW,Output,PIN_M1,1,B1_N2,PIN_M1,,,,,
LEDS[17],Output,PIN_H15,7,B7_N2,PIN_H15,,,,,
LEDS[16],Output,PIN_G16,7,B7_N2,PIN_G16,,,,,
LEDS[15],Output,PIN_G15,7,B7_N2,PIN_G15,,,,,
LEDS[14],Output,PIN_F15,7,B7_N2,PIN_F15,,,,,
LEDS[13],Output,PIN_H17,7,B7_N2,PIN_H17,,,,,
LEDS[12],Output,PIN_J16,7,B7_N2,PIN_J16,,,,,
LEDS[11],Output,PIN_H16,7,B7_N2,PIN_H16,,,,,
LEDS[10],Output,PIN_J15,7,B7_N2,PIN_J15,,,,,
LEDS[9],Output,PIN_G17,7,B7_N1,PIN_G17,,,,,
LEDS[8],Output,PIN_J17,7,B7_N2,PIN_J17,,,,,
LEDS[7],Output,PIN_H19,7,B7_N2,PIN_H19,,,,,
LEDS[6],Output,PIN_J19,7,B7_N2,PIN_J19,,,,,
LEDS[5],Output,PIN_E18,7,B7_N1,PIN_E18,,,,,
LEDS[4],Output,PIN_F18,7,B7_N1,PIN_F18,,,,,
LEDS[3],Output,PIN_F21,7,B7_N0,PIN_F21,,,,,
LEDS[2],Output,PIN_E19,7,B7_N0,PIN_E19,,,,,
LEDS[1],Output,PIN_F19,7,B7_N0,PIN_F19,,,,,
LEDS[0],Output,PIN_G19,7,B7_N2,PIN_G19,,,,,
RESET,Input,PIN_M23,6,B6_N2,PIN_M23,,,,,
SEG1[7],Output,,,,PIN_AF2,,,,,
SEG1[6],Output,PIN_H22,6,B6_N0,PIN_H22,,,,,
SEG1[5],Output,PIN_J22,6,B6_N0,PIN_J22,,,,,
SEG1[4],Output,PIN_L25,6,B6_N1,PIN_L25,,,,,
SEG1[3],Output,PIN_L26,6,B6_N1,PIN_L26,,,,,
SEG1[2],Output,PIN_E17,7,B7_N2,PIN_E17,,,,,
SEG1[1],Output,PIN_F22,7,B7_N0,PIN_F22,,,,,
SEG1[0],Output,PIN_G18,7,B7_N2,PIN_G18,,,,,
SEG2[7],Output,,,,PIN_AE16,,,,,
SEG2[6],Output,PIN_U24,5,B5_N0,PIN_U24,,,,,
SEG2[5],Output,PIN_U23,5,B5_N1,PIN_U23,,,,,
SEG2[4],Output,PIN_W25,5,B5_N1,PIN_W25,,,,,
SEG2[3],Output,PIN_W22,5,B5_N0,PIN_W22,,,,,
SEG2[2],Output,PIN_W21,5,B5_N1,PIN_W21,,,,,
SEG2[1],Output,PIN_Y22,5,B5_N0,PIN_Y22,,,,,
SEG2[0],Output,PIN_M24,6,B6_N2,PIN_M24,,,,,
SEG3[7],Output,,,,PIN_D16,,,,,
